section,subsection,finding_id,finding_summary,best_f1,best_method,key_metric_2,key_metric_2_value,confidence_tier,evidence_source,deployment_implication
A — Core Single-Source,In-domain CIC-IDS2017,A01,Best in-domain F1=0.320 (CNN1D/LSTM at default); ROC-AUC=0.997 for CNN1D; threshold calibration gap is the bottleneck not model quality,0.320,CNN1D/LSTM,ROC-AUC,0.997,Tier 1 — high confidence,final_results_master_table.csv,High imbalance (40% attack); val-tuned threshold recommended for deployment
A — Core Single-Source,In-domain IoT-23,A02,Best in-domain F1=0.468 (LSTM); family-disjoint split makes in-domain harder than cross-domain from diverse sources,0.468,LSTM,ROC-AUC,0.894,Tier 1 — high confidence,final_results_master_table.csv,Family-disjoint evaluation; in-domain F1 is structurally low — not a model failure
A — Core Single-Source,In-domain UNSW-NB15,A03,Best in-domain F1=0.830 (RF); full category overlap and low imbalance (5.7%) make UNSW easiest in-domain target,0.830,RF,ROC-AUC,0.993,Tier 1 — high confidence,final_results_master_table.csv,RF is best in-domain but brittle cross-domain; do not deploy RF for cross-domain use cases
A — Core Single-Source,Cross-domain CIC→IoT,A04,LR F1=0.892 [0.886 0.897]; strongest single cross-domain result; linear boundary on rate/volume features generalizes to IoT C&C,0.892,LR,ROC-AUC,0.983,Tier 1 — high confidence,final_results_master_table.csv; final_bootstrap_ci_results.csv,CIC-trained LR is viable for IoT botnet detection without target-domain adaptation
A — Core Single-Source,Cross-domain UNSW→IoT,A05,LR F1=0.860 [0.853 0.866]; second strongest result; UNSW diverse training transfers to IoT C&C,0.860,LR,ROC-AUC,0.875,Tier 1 — high confidence,final_results_master_table.csv; final_bootstrap_ci_results.csv,UNSW-trained LR is also viable for IoT deployment; LR preferred over LSTM (LSTM is seed-unstable)
A — Core Single-Source,Cross-domain UNSW→CIC,A06,LR F1=0.731 [0.730 0.733]; only partial success on hard CIC target; LSTM F1=0.631,0.731,LR,ROC-AUC,0.643,Tier 2 — moderate confidence,final_results_master_table.csv,CIC is a hard target; UNSW→CIC LR is the best option but ROC-AUC (0.643) is modest
A — Core Single-Source,Cross-domain CIC→UNSW,A07,Near-total failure: LR F1=0.143 is best; UNSW is a hard target from CIC,0.143,LR,ROC-AUC,0.620,Tier 1 — high confidence,final_results_master_table.csv,Do not deploy CIC-trained models on UNSW-like environments
A — Core Single-Source,Cross-domain IoT→UNSW,A08,Near-total failure: LSTM F1=0.139 is best; IoT source systematically poor; all methods fail,0.139,LSTM,ROC-AUC,0.628,Tier 1 — high confidence,final_results_master_table.csv,IoT-trained models cannot detect UNSW protocol-based attacks
A — Core Single-Source,Cross-domain IoT→CIC,A09,Near-total failure: LSTM F1=0.261 (high seed variance); LR F1=0.086; IoT source systematically poor,0.261,LSTM (caution: seed std=0.149),ROC-AUC,0.834,Tier 3 — caution required for LSTM; Tier 1 for failure conclusion,final_results_master_table.csv; final_dl_seed_stability_results.csv,IoT→CIC failure conclusion is stable; LSTM point estimate is not reliable
B — Threshold Portability,Fixed-FPR degeneracy,B01,fixed_fpr degenerates (threshold→1.0) on 25/45 cross-domain rows (56%); predicts all-benign on majority of cross-domain settings,N/A,N/A,degenerate_count,25 of 45,Tier 1 — high confidence,final_threshold_portability_table.csv,NEVER use source-tuned fixed_fpr threshold for cross-domain deployment
